date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:50:39	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f5fd825-247b%22	https://tronflow.net/robots.txt		(from )
19:50:40	88065/88065	---M-Z	200	added ('OK')	text/html	etag:W/%225fc67750-15801%22	https://tronflow.net/	C:/My%20Web%20Sites/Necronomi%20Tron/tronflow.net/index.html	(from )
19:50:40	50060/50060	---M--	200	added ('OK')	image/png	etag:%225fc67750-c38c%22	https://tronflow.net/assets/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/Necronomi%20Tron/tronflow.net/assets/favicon/apple-touch-icon.png	(from https://tronflow.net/)
19:50:40	2754/2754	---M--	200	added ('OK')	image/png	etag:%225fc67750-ac2%22	https://tronflow.net/assets/favicon/favicon-32x32.png	C:/My%20Web%20Sites/Necronomi%20Tron/tronflow.net/assets/favicon/favicon-32x32.png	(from https://tronflow.net/)
19:50:41	820/820	---M--	200	added ('OK')	image/png	etag:%225fc67750-334%22	https://tronflow.net/assets/favicon/favicon-16x16.png	C:/My%20Web%20Sites/Necronomi%20Tron/tronflow.net/assets/favicon/favicon-16x16.png	(from https://tronflow.net/)
19:50:41	263/263	---M-Z	200	added ('OK')	application/manifest+json	etag:W/%225fc67750-107%22	https://tronflow.net/assets/favicon/site.webmanifest	C:/My%20Web%20Sites/Necronomi%20Tron/tronflow.net/assets/favicon/site.webmanifest	(from https://tronflow.net/)
19:50:41	160392/160392	---M-Z	200	added ('OK')	text/css	etag:W/%225fc67750-27288%22	https://tronflow.net/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Necronomi%20Tron/tronflow.net/assets/css/bootstrap.min.css	(from https://tronflow.net/)
19:50:41	432254/432254	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%225fc67750-6987e%22	https://tronflow.net/favicon.ico	C:/My%20Web%20Sites/Necronomi%20Tron/tronflow.net/favicon.ico	(from https://tronflow.net/)
19:50:41	5227/5227	---M-Z	200	added ('OK')	text/css	etag:W/%225fc67750-146b%22	https://tronflow.net/assets/css/style.css	C:/My%20Web%20Sites/Necronomi%20Tron/tronflow.net/assets/css/style.css	(from https://tronflow.net/)
19:50:42	3383/3383	---M-Z	200	added ('OK')	text/css	etag:W/%225fc67750-d37%22	https://tronflow.net/assets/css/modal.css	C:/My%20Web%20Sites/Necronomi%20Tron/tronflow.net/assets/css/modal.css	(from https://tronflow.net/)
19:50:43	9972/9972	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2001%20Dec%202020%2018:50:44%20GMT	https://kit.fontawesome.com/9b86ed02de.js	C:/My%20Web%20Sites/Necronomi%20Tron/kit.fontawesome.com/9b86ed02de.js	(from https://tronflow.net/)
19:50:43	21771/21771	---M--	200	added ('OK')	image/png	etag:%225fc67750-550b%22	https://tronflow.net/assets/img/Logo.png	C:/My%20Web%20Sites/Necronomi%20Tron/tronflow.net/assets/img/Logo.png	(from https://tronflow.net/)
19:50:43	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f74c501-247b%22	https://tronflow.net/tronflowes.pdf	C:/My%20Web%20Sites/Necronomi%20Tron/tronflow.net/tronflowes.pdf	(from https://tronflow.net/)
19:50:43	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225ececa4d-247b%22	https://tronflow.net/tronflow.pdf	C:/My%20Web%20Sites/Necronomi%20Tron/tronflow.net/tronflow.pdf	(from https://tronflow.net/)
19:50:43	79827/79827	---M--	200	added ('OK')	image/png	etag:%225fc67750-137d3%22	https://tronflow.net/assets/img/slider-img.png	C:/My%20Web%20Sites/Necronomi%20Tron/tronflow.net/assets/img/slider-img.png	(from https://tronflow.net/)
19:50:44	60970/60970	---M--	200	added ('OK')	image/png	etag:%225fc67750-ee2a%22	https://tronflow.net/assets/img/slider-img-2.png	C:/My%20Web%20Sites/Necronomi%20Tron/tronflow.net/assets/img/slider-img-2.png	(from https://tronflow.net/)
19:50:44	19925/19925	---M--	200	added ('OK')	image/png	etag:%225fc67750-4dd5%22	https://tronflow.net/assets/img/TronLogo.png	C:/My%20Web%20Sites/Necronomi%20Tron/tronflow.net/assets/img/TronLogo.png	(from https://tronflow.net/)
19:50:44	1249/1249	---M--	200	added ('OK')	image/png	etag:%225fc67750-4e1%22	https://tronflow.net/assets/img/scale.png	C:/My%20Web%20Sites/Necronomi%20Tron/tronflow.net/assets/img/scale.png	(from https://tronflow.net/)
19:50:44	3076/3076	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225fc67750-c04%22	https://tronflow.net/assets/img/dollor1.svg	C:/My%20Web%20Sites/Necronomi%20Tron/tronflow.net/assets/img/dollor1.svg	(from https://tronflow.net/)
19:50:44	1413/1413	---M--	200	added ('OK')	image/png	etag:%225fc67750-585%22	https://tronflow.net/assets/img/group.png	C:/My%20Web%20Sites/Necronomi%20Tron/tronflow.net/assets/img/group.png	(from https://tronflow.net/)
19:50:45	2964/2964	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225fc67750-b94%22	https://tronflow.net/assets/img/code.svg	C:/My%20Web%20Sites/Necronomi%20Tron/tronflow.net/assets/img/code.svg	(from https://tronflow.net/)
19:50:45	4278/4278	---M--	200	added ('OK')	image/png	etag:%225fc67750-10b6%22	https://tronflow.net/assets/img/dappradar.png	C:/My%20Web%20Sites/Necronomi%20Tron/tronflow.net/assets/img/dappradar.png	(from https://tronflow.net/)
19:50:45	3078/3078	---M--	200	added ('OK')	image/png	etag:%225fc67750-c06%22	https://tronflow.net/assets/img/dappreview.png	C:/My%20Web%20Sites/Necronomi%20Tron/tronflow.net/assets/img/dappreview.png	(from https://tronflow.net/)
19:50:47	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:W/%225eb09f0f-15d84%22	https://code.jquery.com/jquery-3.5.1.min.js	C:/My%20Web%20Sites/Necronomi%20Tron/code.jquery.com/jquery-3.5.1.min.js	(from https://tronflow.net/)
19:50:47	19188/19188	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-4af4%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	C:/My%20Web%20Sites/Necronomi%20Tron/cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	(from https://tronflow.net/)
19:50:47	63240/63240	---M-Z	200	added ('OK')	application/javascript	etag:W/%225fc67750-f708%22	https://tronflow.net/assets/js/bootstrap.min.js	C:/My%20Web%20Sites/Necronomi%20Tron/tronflow.net/assets/js/bootstrap.min.js	(from https://tronflow.net/)
19:50:48	3134/3134	---M-Z	200	added ('OK')	application/javascript	etag:W/%225fc67750-c3e%22	https://tronflow.net/assets/js/jquery.countdown.js	C:/My%20Web%20Sites/Necronomi%20Tron/tronflow.net/assets/js/jquery.countdown.js	(from https://tronflow.net/)
19:50:48	1663/1663	---M-Z	200	added ('OK')	application/javascript	etag:W/%225fc67750-67f%22	https://tronflow.net/assets/js/main.js	C:/My%20Web%20Sites/Necronomi%20Tron/tronflow.net/assets/js/main.js	(from https://tronflow.net/)
19:50:48	14962/14962	---M-Z	200	added ('OK')	application/javascript	etag:W/%225fc67750-3a72%22	https://tronflow.net/assets/js/tronFlow.js	C:/My%20Web%20Sites/Necronomi%20Tron/tronflow.net/assets/js/tronFlow.js	(from https://tronflow.net/)
